food_name,age,time,cuisine_type,cooking_method,dish_type,dietary_preferences,spice_level,occasion,nutrient_content,region_origin,texture,post_id
fried rice,adult,dinner,indian,fried,main course,vegetarian,mild,everyday,high carb,indian,soft,1cb85xg
chilli prawns,adult,snacks,fusion,grilled,appetizer,non-vegetarian,medium,everyday,high protein,fusion,soft,1cb6hml
watermelon juice,child,breakfast,fusion,blended,drink,vegetarian,mild,everyday,high water content,fusion,smooth,1cb607c
margherita pizza,adult,dinner,italian,baked,pizza,non-vegetarian,mild,everyday,high carb,italian,chewy,1cb4voz
maggi,child,snacks,indo-western,stir-fried,snack,vegetarian,mild,everyday,high carb,indian,soft,1cb1rg4
pindi chole,adult,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjab,soft,1cb1dt3
chole,adult,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1cb0dma
paneer butter masala,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,smooth,1cazl6l
shahi tukda,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,mughlai,soft,1cay05z
gujarati khandvi,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1cascpv
thaali,adult,dinner,indian,steamed,meal,vegetarian,medium,everyday,high,can't,soft,1cahfk4
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,gujarati,soft,1cahdyi
dal chawal and bhindi fry,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1cagx63
soy chunks,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high protein,other,soft,1cagmnh
kathal ki sabzi,adult,dinner,north indian,stir-fried,side dish,vegetarian,medium,everyday,high fiber,punjabi,soft,1caftg3
steamed rice,adult,lunch,indian,steamed,side dish,vegetarian,mild,everyday,high fiber,indian,soft,1caf1bn
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1cadg6n
pulao,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1cadb6v
pyare kebab,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,everyday,high protein,punjabi,tender,1caa29f
kukkad,adult,lunch,south indian,grilled,main course,non-vegetarian,medium,everyday,high protein,tamil,soft,1ca7wtn
paneer tikka,adult,lunch,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1ca6ng0
chicken momos,child,lunch,north indian,steamed,appetizer,non-vegetarian,medium,festive,high protein,chinese,soft,1ca5kxr
chicken curry,adult,dinner,south indian,curried,main course,non-vegetarian,medium,everyday,high protein,kerala,soft,1ca4mua
rose falooda recipe,adult,dessert,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,indian,crunchy,1ca1cj1
pav,adult,lunch,indian,baked,appetizer,vegetarian,mild,everyday,high carb,mumbai,soft,1ca16or
overnight soaked oats,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high fiber,indian,soft,1c9yvu3
biryani,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1c9njgf
dal,adult,lunch,indian,steamed,thaali,vegetarian,medium,everyday,high protein,indian,soft,1c9nhpa
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1c9n105
paneer burji,adult,snacks,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,north indian,soft,1c9lj1f
Ras Malai,child,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1c9l3wr
Chicken Tikka Masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,dinner,high protein,indian,crispy,1c9kn2o
Vada Pav,child,snacks,indian,fried,snack,vegetarian,mild,everyday,high carb,mumbai,soft,1c9l3wr
Biryani,adult,dinner,indo-western,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1c9jy0p
Paneer Bhurji,adult,dinner,indian,stir-fried,main course,vegetarian,medium,dinner,high protein,indian,soft,1c9jk65
Paneer Paratha,adult,breakfast,indian,grilled,main course,vegetarian,medium,breakfast,high protein,punjabi,soft,1c9imnv
Pomfret fry,adult,dinner,south indian,fried,appetizer,non-vegetarian,medium,everyday,high protein,kerala,crispy,1c9gpqn
Itwaar Meal,adult,dinner,indian,grilled,main course,vegetarian,mild,everyday,high protein,indian,grilled,1c9gd11
Mutton Masala Curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,dinner,high protein,indian,soft,1c9e38q
Pindi Chole Kulcha,adult,dinner,north indian,grilled,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1c9bw7q
pav bhaji,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1c9afyr
steamed rice with lentil dal,adult,lunch,indian,steamed,main course,vegetarian,mild,everyday,high protein,indian,soft,1c99k87
chicken curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,everyday,high protein,indian,smooth,1c99c06
eggless chocolate chip and white chip cookies,adult,snacks,fusion,baked,dessert,vegetarian,mild,everyday,high carb,indian,soft,1c961iz
blueberry milkshake with stir-fried toast and sunny side up,adult,breakfast,fusion,stir-fried,breakfast,vegetarian,mild,everyday,high carb,indian,smooth,1c8xjx6
mutton soup,senior citizen,dinner,north indian,boiled,soup,non-vegetarian,medium,everyday,high protein,punjabi,thick,1c8x3cd
chicken tikka masala,adult,lunch,indian,grilled,appetizer,non-vegetarian,spicy,everyday,high protein,indian,soft,1c8wwye
drunken paneer,adult,lunch,indian,grilled,appetizer,vegetarian,medium,festive,high protein,indian,soft,1c8vpgt
paneer wrap with hummus dip,senior citizen,snacks,fusion,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1c8vcyr
rajma chawal,adult,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1c8uzmj
mutton karahi,adult,dinner,north indian,grilled,main course,non-vegetarian,spicy,festive,high protein,punjabi,tender,1c8uc5t
peri paneer salad bowl,senior citizen,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1c8tbvz
mudhi mixture sev,adult,snacks,indian,fried,snack,vegetarian,mild,everyday,high carb,indian,crispy,1c8syyq
steamed vegetable bowl,senior citizen,snacks,indian,steamed,snack,vegetarian,mild,everyday,high fiber,indian,soft,1c8rev4
veg fried rice,senior citizen,lunch,fusion,fried,side dish,vegetarian,mild,everyday,high carb,indian,soft,1c8rb21
lackey tsar,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1c8pnpa
taimur ki nanny,adult,dinner,indo-western,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1c8lcfa
kala chana and chawal,adult,lunch,north indian,steamed,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1c8kr0m
french fries,senior citizen,snacks,western,fried,snack,non-vegetarian,mild,everyday,high carb,western,crispy,1c8k5q2
rajma chawal,senior citizen,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1c8ji88
paneer paratha dahi,adult,breakfast,north indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1c8ixdp
grilled chicken tikka,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1c8ipcj
